---------------------------------------
Begin Slurm Prolog: Sep-03-2026 16:34:51
Job ID:    12796226
User ID:   wahrens6
Account:   gts-wahrens6
Job name:  saps-scrape-matrices
Partition: cpu-medium
QOS:       inferno
---------------------------------------
Selected 90 of 2904 SuiteSparse search results for chunk 28/32.
Skipping AG-Monien/stufe-10; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping Andrianov/pf2177; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping Bai/dw256B; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping Bai/rbsb480; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs0; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs1; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs2; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs3; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs4; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs5; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs6; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs7; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs8; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs9; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs10; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs11; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs12; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs13; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs14; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs15; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs16; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs17; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs18; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs19; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs20; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs21; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs22; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs23; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs24; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs25; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs26; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs27; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs28; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs29; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs30; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs31; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs32; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs33; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs34; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs35; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs36; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs37; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs38; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs39; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
Skipping BenElechi/BenElechi1 rhs40; already present in /storage/scratch1/7/wahrens6/MatrixScraper/results-27.jsonl
